,words,tf
1360,lasangya,False
1361,pimpkin,False
1362,unath,False
1363,hand,True
1364,garupputh,False
1365,people,True
1366,athdekimakuth,False
1367,containerswath,False
1368,gami,False
1369,kare,False
1370,kollupitiye,False
1371,sundara,False
1372,wathashraya,False
1373,theruwansarni,False
1374,am,True
1375,servise,False
1376,wine,True
1377,picture,True
1378,beranna,False
1379,lankaawa,False
1380,grevy,False
1381,sadayakata,False
1382,3na,False
1383,vegetarin,False
1384,office,True
1385,mousque,False
1386,00p,False
1387,that's,True
1388,tye,False
1389,kamathime,False
1390,badapirenna,False
1391,methana,False
1392,monath,False
1393,hulk,True
1394,wenanwa,False
1395,boring,True
1396,film,True
1397,complains,True
1398,janathawa,False
1399,gedi,False
1400,oil,True
1401,ragala,False
1402,prasiddai,False
1403,hithaganna,False
1404,sewawata,False
1405,yanthraya,False
1406,wathae,False
1407,thenak,False
1408,balaagena,False
1409,yak,True
1410,handi,False
1411,agamathi,False
1412,vagema,False
1413,attract,True
1414,10n,False
1415,garayak,False
1416,ok,False
1417,asawen,False
1418,know,True
1419,eeka,False
1420,thawa,False
1421,kollada,False
1422,kana,True
1423,sewakayo,False
1424,afford,True
1425,dunna,False
1426,idiappa,False
1427,issarahamai,False
1428,attractivewidiyata,False
1429,submarines,True
1430,ekramayathamihari,False
1431,kemath,False
1432,tiyana,False
1433,Plates,True
1434,microscope,True
1435,paribogika,False
1436,balaporoththu,False
1437,samakami,False
1438,1000k,False
1439,bones,True
1440,geniyanna,False
1441,ara,False
1442,nidahasa,False
1443,withra,False
1444,puluwan,False
1445,penwa,False
1446,aththama,False
1447,ambiance,True
1448,cakes,True
1449,saththu,False
1450,kalu,False
1451,waradi,False
1452,pasumbiyata,False
1453,can't,True
1454,laga,False
1455,appata,False
1456,wenawa,False
1457,morning,True
1458,pork,True
1459,petti,False
1460,emin,False
1461,kaluthara,False
1462,rahak,False
1463,those,True
1464,ban,True
1465,rewatenna,False
1466,gaththamadessert,False
1467,wadiyen,False
1468,wadhunada,False
1469,unatath,False
1470,koitharam,False
1471,eka8,False
1472,hithenwa,False
1473,caring,True
1474,thawatikak,False
1475,lesi,False
1476,yanne?,False
1477,gewanna,False
1478,'GRAZE,False
1479,kaaranawa,False
1480,mosquotes,False
1481,kothtuwak,False
1482,laranna,False
1483,potato,True
1484,power,True
1485,piliwelakata,False
1486,said,True
1487,tama,False
1488,labenakam,False
1489,curry,True
1490,patan,False
1491,kello,False
1492,superb,True
1493,havath,False
1494,problem,True
1495,budu,False
1496,krla,False
1497,Harima,False
1498,pramanaya,False
1499,ragena,False
1500,120k,False
1501,wen,True
1502,masala,False
1503,supiri,False
1504,hadala,False
1505,ratakac,False
1506,hadhan,False
1507,baa,True
1508,kloku,False
1509,amuth,False
1510,canteen,True
1511,dannawane,False
1512,hadhana,False
1513,mata,False
1514,environment,True
1515,relax,True
1516,karagena,False
1517,balanne,False
1518,don’t,True
1519,poddak,False
1520,wikunuwath,False
1521,yellow,True
1522,laxmimaniyange,False
1523,nigambo,False
1524,oder,False
1525,kohmada,False
1526,gasthuwa,False
1527,ekakatath,False
1528,pramithinta,False
1529,gihilla,False
1530,deela,False
1531,kemathi,False
1532,wathashrayak,False
1533,gahuwa,False
1534,deyak,False
1535,nisi,False
1536,tharamak,False
1537,that,True
1538,nikang,False
1539,bang,True
1540,hamanawa,False
1541,suwa,False
1542,outlet,True
1543,chlorine,True
1544,healthy,True
1545,also,True
1546,ill,True
1547,10%ka,False
1548,hadhahan,False
1549,ktha,False
1550,suitable,True
1551,far,True
1552,gunai,False
1553,ayada,False
1554,ekatama,False
1555,rotiyak,False
1556,sopanayak,False
1557,pizza,True
1558,kiyawanna,False
1559,charge,True
1560,aththtama,False
1561,customeslawa,False
1562,dannwa,False
1563,choices,True
1564,clam,True
1565,dhenne,False
1566,1080k,False
1567,tiyanava,False
1568,uncomfatable,False
1569,masso,False
1570,Hamadeyakma,False
1571,resturent,False
1572,congratulations,True
1573,budusaranai,False
1574,බඩගිනි,False
1575,therum,False
1576,wideshikayanta,False
1577,una,False
1578,pirisuduth,False
1579,sea,True
1580,show,True
1581,watinne,False
1582,ganaka,False
1583,delay,True
1584,additional,True
1585,manda,False
